id_1,id_2,y2000,y2001,y2002,y2003,y2004,y2005,y2006,y2007,y2008,y2009,y2010,y2011,y2012,y2013
23,347,0,1,0,1,2,1,0,0,0,0,0,0,0,0
24,398,0,0,0,0,0,1,0,0,0,0,0,0,0,1
24,336,0,0,0,0,1,1,0,1,0,0,0,0,0,0
24,337,0,0,0,0,1,1,0,1,0,0,0,0,0,0
24,25,0,0,0,0,0,2,0,0,0,0,0,0,0,0
24,414,0,1,0,0,0,1,0,0,0,0,0,0,0,0
24,415,0,1,0,0,0,1,0,0,0,0,0,0,0,0
25,96,0,0,1,0,0,1,1,1,1,0,1,0,0,0
25,336,0,0,0,0,1,1,0,1,0,0,0,0,0,0
25,49,0,0,0,0,0,1,0,1,0,0,0,0,0,0
25,370,0,0,1,0,0,1,0,0,0,0,0,0,0,0
25,415,0,1,0,0,0,1,0,0,0,0,0,0,0,0
26,100,0,0,1,2,1,2,1,0,0,1,1,0,0,0
26,78,0,0,2,2,2,1,0,1,1,0,0,0,0,0
26,80,0,0,2,2,2,2,1,1,1,0,0,0,0,0
26,54,0,0,1,1,1,1,0,1,0,0,0,0,0,0
26,29,0,0,2,2,2,2,0,0,0,0,0,0,0,0
27,37,0,0,0,0,0,1,1,0,0,0,0,0,0,0
27,136,0,0,0,0,1,2,1,1,1,1,1,1,1,0
27,209,0,0,0,0,0,1,0,1,0,0,0,1,0,0
27,210,0,0,0,0,0,1,0,0,0,0,0,1,0,0
27,211,0,0,0,0,0,1,0,0,0,0,0,1,0,0
28,162,0,0,0,0,2,2,0,1,0,0,0,1,1,0
28,397,0,0,0,0,1,1,0,1,0,0,0,0,0,1
28,399,0,0,0,0,2,1,1,1,1,0,0,0,0,1
28,400,0,0,1,0,2,2,1,1,1,0,0,0,1,1
28,401,0,0,0,0,2,2,0,1,1,1,0,1,0,1
28,402,0,0,1,0,2,1,1,0,1,0,0,0,1,1
29,36,0,0,2,2,2,1,1,0,0,0,0,0,0,0
29,78,0,0,2,2,2,1,0,1,1,0,0,0,0,0
29,79,0,0,2,1,2,1,1,1,1,0,0,0,0,0
29,80,0,0,2,2,2,2,1,1,1,0,0,0,0,0
30,330,0,0,0,0,0,1,1,1,0,0,0,0,0,0
30,211,0,0,0,0,0,1,0,0,0,0,0,1,0,0
30,212,0,0,0,0,1,1,1,1,1,1,0,1,0,0
30,213,0,0,0,0,0,2,1,1,1,1,0,1,0,0
30,280,0,0,0,0,0,2,1,1,0,1,0,0,0,0
30,126,0,0,0,0,0,1,0,0,1,0,0,1,0,0
31,355,0,0,0,1,0,1,0,0,0,0,0,0,0,0
31,75,0,0,0,0,0,1,0,0,1,0,0,0,0,0
31,47,0,0,0,0,0,2,1,0,0,0,0,0,0,0
31,49,0,0,0,0,0,1,0,1,0,0,0,0,0,0
31,52,0,1,0,1,0,1,1,1,0,0,0,0,0,0
31,53,0,1,0,1,0,1,1,1,0,0,0,0,0,0
31,346,0,0,0,0,0,1,1,0,0,0,0,0,0,0
31,415,0,1,0,0,0,1,0,0,0,0,0,0,0,0
32,72,0,0,1,1,1,0,0,0,1,0,0,0,0,0
32,73,0,0,1,1,1,0,0,0,1,0,0,0,0,0
32,373,0,0,2,1,1,0,0,0,0,0,0,0,0,0
32,410,0,1,2,2,2,0,1,0,0,0,0,0,0,1
32,411,0,1,2,2,2,0,0,0,0,0,0,0,0,1
33,260,0,1,2,2,0,0,1,0,0,0,0,1,0,0
