CELL_ID,PDMIN,PDMAX,pdMN,pdSTD,pdSUM
165344,86.1111145,770.5882568,264.8033444,167.2237553,26480.33444
165346,86.1111145,1720,533.964028,402.872672,53396.4028
165347,514.0350952,2892.307617,1307.373276,683.452132,130737.3276
165348,201.9354858,8510,3663.25488,2267.573911,366325.488
165349,201.9354858,8450,1676.502319,2384.655277,167650.2319
165350,201.9354858,13680,2526.674845,2998.010796,252667.4845
165351,195.3703766,528.2758789,367.2252705,83.64951481,36722.52705
165354,585.7142944,8418.181641,2289.841799,2556.234072,228984.1799
165355,220.2453918,7340,1829.407805,1968.101187,182940.7805
165356,220.2453918,1438.461548,615.9527772,436.1705371,57283.60828
165970,105.7291641,370.2127686,267.4680812,105.8202323,26746.80812
165986,7.901825905,12.51504231,8.593808365,1.655546267,859.3808365
165992,29.33810425,283.842804,93.61500549,76.21770924,9361.500549
165995,599.1018066,2461.538574,1113.345564,634.5423571,111334.5564
165997,246.8354492,2680,1564.647865,664.39259,156464.7865
165998,37.96658325,2366.666748,336.8854086,558.5279866,33688.54086
165999,37.96658325,37.96658325,37.96658325,0,3796.658325
166001,37.96658325,219.4029846,101.4693237,86.97561867,10146.93237
166005,11.9577961,98.49246216,39.49271166,35.95056049,3949.271166
166008,751.1627808,4300,1622.558185,753.6660664,162255.8185
166009,438.5714417,7581.818359,2665.434919,1980.494065,266543.4919
166010,438.5714417,3800,1693.548383,1406.088533,169354.8383
166011,650,5736.36377,2295.84238,1597.033545,229584.238
166012,58.57143021,5516.666504,1906.218258,1736.290488,190621.8258
166013,93.67088318,5000,731.0418999,1356.926908,73104.18999
166014,93.67088318,3566.666748,1086.32373,963.2802556,108632.373
166015,560.2409668,5400,2542.853955,1313.71918,254285.3955
166016,665.8536377,4033.333252,2011.918381,882.6584067,201191.8381
166017,24.35344887,4257.143066,1671.668517,1758.464277,167166.8517
166020,24.35344887,2811.111084,864.5169767,681.0226633,86451.69767
166021,381.3333435,9425,2177.279236,1732.719055,217727.9236
166022,238.1818237,6038.461426,1838.215334,1867.261073,183821.5334
166023,506.3157959,3220,1563.430159,908.2036756,156343.0159
166024,277.3809509,5800,613.0442203,629.756566,61304.42203
166026,156.4885559,376.7441711,203.2346341,54.52756824,20323.46341
